query,answer
"Which of the following is most common type of congenital cardiac cyanotic anomaly? Options: A. Tetralogy of Fallot, B. TAPVC, C. Transposition of great vessels, D. Ebstein's anomaly",A. Tetralogy of Fallot
The commonest cranial nerve palsy in tabes dorsalis is:,C. VI nerve
The commonest cancer of oral cavity is,D. Squaous cell carcinoma
"During the following procedure, optimum interval between uterine incision and delivery should be less than ______ seconds.",A. 30 seconds
Point Prevalence is defined as-,D. Number of total cases at a given point of time
Sunflower cataract is caused by,B. Chalcosis
Post radical neck dissection shoulder syndrome: all are seen except?,D. Normal electromyographic finding
"An 18-year-old man moves from sea level to an elevation of 2,400 m to train as a skier. The increased requirement for oxygen delivery to tissues at the higher elevation stimulates the synthesis of a renal hormone (erythropoietin), which targets hematopoietic stem cells in the bone marrow. Erythropoietin promotes the survival of early erythroid progenitor cells primarily through which of the following mechanisms? Answer Choices: A. Altered cell-matrix adhesion B. Downregulation of p53 C. Enhanced glucose uptake D. Inhibition of apoptosis",D. Inhibition of apoptosis
Scalp and face are involved in ?,C. Infantile scabies
Notochord develops from - Answer Choices: A. Epiblast cells B. Hypoblast cells C. Syncytiotrophoblasts D. Cytotrophoblasts,A. Epiblast cells
Lysosomal transpo defect is seen in,A. Cystinosis
False about Neurotic disorders,D. Loss of insight
Clathrin is used in:,A. Receptor mediated endocytosis
"Muscle forming anterior and posterior faucial folds of tonsillar fossa, respectively",B. Palatoglossus-palatopharyngeus
An elderly patient complains of recurrent episodes of amaurosis fugax. This is attributable to microembolization of which of the following? Answer Choices: A. Facial artery B. Retinal artery C. Occipital artery D. Posterior auricular artery,B. Retinal artery
"21-year-old patient with post-party symptoms: abdominal pain radiating to back, tachycardia (100/min), mild hypotension (100/76), fever (39°C), vomiting. Most probable diagnosis.",D. Acute pancreatitis
"A 44-year-old renal transplant patient with severe cough, dyspnea, clear lungs, bilateral perihilar infiltrates, bronchoscopy showing silver-staining cysts. Most appropriate next step in management?",C. trimethoprim-sulfamethoxazole
Dosage of Albendazole given as per National deworming program in <2years old child.,A. 200mg
An indicator is said to valid if,B. It measures the thing it expected to measure
Which of the following disease can be associated with short QT interval on ECG ?,B. Multiple myeloma
Malignant cell in Hodgkin's lymphoma is,A. Reed stenberg cell
Hockey stick appearance on echo is a feature of,A. Mitral stenosis
Milk ejection is facilitated by,A. Oxytocin
PR interval in ECG shows? Answer Choices: A. Ventricular depolarization B. Ventricular Repolarization C. Conduction through AV node. D. Atrial Repolarization,C. Conduction through AV node.
Anterior spinal artery is a branch of,C. Vertebral artery
"Which of the following is a radiolucent stone? Answer Choices: A. Uric acid, B. Oxalate, C. Cysteine, D. Triple phosphate",A. Uric acid
Presence of hemiplegia with diminution of vision in the contralateral eye suggests occlusion of: September 2012,D. Internal carotid aery
Which of the following describes Satyriasis?,B. Increased sexual drive in male
Dose of Human anti-rabies immunoglobulin is,B. 20 IU/kg
"Following a myocardial infarct, a 40-year-old man is being treated prophylactically with propranolol. You would be concerned about the use of this drug if the patient also had what comorbid condition?",C. Diabetes
The occurrence of hyperthyroidism following administration of supplemental iodine to subjects with endemic iodine deficiency goitre is known as -,A. Jod-Basedow effect
Baroreceptors stimulation would result in,D. Decrease in blood pressure
True regarding respiratory centre,C. Inhibited during swallowing
Paul Bunnel test is done for?,B. EBV
Amount of chlorine needed to kill cyclops in drinking water is: September 2007,C. 5 ppm
Type-1 hypersensitivity includes all of the following except:,A. Autoimmune hemolytic anemia
Lymphadenopathy is seen in A/E,B. Donovanosis
Fluconazole differs from ketoconazole in all the following except (REPEAT),D. Usage in candidiasis
Which of the following is not a derivative of amino acid tyrosine,B. Melatonin
A 16-year-old student with multiple hypopigmented macules on trunk and limbs. Which test is NOT useful for diagnosing leprosy?,B. Lepromin test
"Valvulae conniventes are seen in
Answer Choices:
A. Jejunum
B. Ileum
C. Stomach
D. Colon",A. Jejunum
"20-year-old female with headache while studying, normal vision. Which should NOT be further evaluated?",D. Her interest in studies
Which of the following diagnostic features is consistent with Bacterial vaginosis?,B
Lecithin/Sphingomyelin ratio is done to assess the maturity of,A. Lung
Radiation induced thyroid cancer is -,Papillary
At which level sound is painful,A. 100-120dB
Prophylaxis against spontaneous bacterial peritonitis ( SBP) in case of cirrhosis with ascites is indicated in: Answer Choices: A. Patients with high protein ascites B. Prior history of SBP C. Serum creatinine 1 mg/dl D. Child pugh < 8,B. Prior history of SBP
Trypsinogen to trypsin is converted by,A. Enteropeptidase
A 80-year-old edentulous patient presents with a midline tumor of the lower jaw involving the alveolar margin. What is the Rx of choice?,Marginal mandibulectomy
"What is the most probable portal of entry for Aspergillus? Answer Choices: A. Puncture wound, B. Blood, C. Lungs, D. Gastrointestinal tract",C. Lungs
Obstruction to the flow of CSF at the aqueduct of Sylvius will most likely lead to enlargement of -,D. Both lateral and third ventricles
Dinner fork deformity is seen in - Answer Choices: A. Colies fracture B. Supracondylar fracture of Humerus C. Smith's fracture D. Volar Barton Fracture,A. Colies fracture
22F with C. perfringens bacteremia post-symptomatic treatment - next physician instruction,D. IV penicillin therapy plus echocardiography.
"An antihelminthic drug that is effective against blood fluke, liver fluke, lung fluke and cysticercus is:",B. Praziquantal
"Radiological feature of Mitral stenosis is are
Answer Choices:
A. Double contour of right hea border
B. Straightening of left hea border
C. Splaying of carinal angle
D. All",D. All
Leukocytoclastic vasculitis as an extrahepatic manifestation is noticed in: A. Chronic hepatitis B B. Chronic Hepatitis C C. Autoimmune hepatitis D. Wilson's disease,B. Chronic Hepatitis C
Cholesteatoma commonly associated with:,A. Atticoantral CSOM
Brinzolamide is a,C. Highly specific reversible and competitive carbonic anhydrose inhibitor
A child presenting with localized patches of complete hair loss with normal appearance of scalp. Diagnosis is - Answer Choices: A. Tinea capitis B. Cradle cap C. Alopecia areata D. Telogen effluvium,C. Alopecia areata
"Bochdalek hernia is related to - Answer Choices: A. Inguinal canal, B. Pleuroperitoneal canal, C. Femoral canal, D. Obturator foramen",B. Pleuroperitoneal canal
"8-hour-old term infant with increased respiratory distress, hypothermia, hypotension, WBC 2500/mL with 80% bands, and chest radiograph (likely diffuse infiltrates). Most likely diagnosis among: A. Congenital syphilis, B. Diaphragmatic hernia, C. Group B streptococcal pneumonia, D. Transient tachypnea of the newborn.",C. Group B streptococcal pneumonia
"A 3-year-old boy presents with fever, sore throat, and difficulty swallowing. Examination reveals a posterior pharyngeal wall bulge. What is the most likely diagnosis?",D. Retropharyngeal abscess
Adam's apple seen in boys is because of: Answer Choices: A. Hyoid bone B. Tracheal rings C. Thyroid cailage D. Cricoid cailage,C
Site of placement of tension free vaginal tapes in stress urinary incontinence,D. Middle pa of urethra
A 4 yr old partially immunized boy came to OPD with history of bouts of coughing. On staining the sputum sample an organism with bipolar staining was seen. Which among the following organism it would be? Answer Choices: A. Y. Pestis B. B. pertussis C. S. Agalactae D. K. Pneumonae,A. Y. Pestis
Most important form of carbon dioxide transport in the blood,C. As bicarbonates
The amount of water absorbed in the intestine in a day is : Answer Choices: A. 5 lit. B. 1 lit C. 1 lit D. 8 lit.,D. 8 lit.
Patient with uniocular diplopia; oblique illumination shows golden crescent; coaxial illumination shows dark crescent line. Most likely diagnosis.,Lenticonus
Alkaptonuria an inherited metabolic disorder is due to the deficiency of,A. Homogentisate oxidase
Most common cause of short stature is: A. Constitutional B. Hypothyroidism C. Growth hormone deficiency D. Systemic illness,A. Constitutional
Best method of treatment of ulnar nerve abscess in case of leprosy,C. Thalidomide
Berkesonian bias in a case control study is a bias due to:,B. Different admission rates for different diseases
"All of the following statements about Lupus Anticoagulant are true, EXCEPT:
A. May present with an isolated prolongation of APTT
B. May present with Recurrent Abortions
C. May occur with minimal clinical manifestations
D. Thrombotic spells can be followed by severe life threatening hemorrhage",D. Thrombotic spells can be followed by severe life threatening hemorrhage
What is true in case of perforation of pars flaccida?,B. Associated with cholesteatoma
WHO recommended regime for the treatment of Brucella infection is?,B. Rifampicin with doxycycline
Cork screw esophagus in barium swallow is seen in: A. Achalasia cardia B. Esophageal cancer C. Diffuse esophageal spasm D. Diverticulum,C. Diffuse esophageal spasm
Infant with cystic fibrosis (CF) are likely to develop,A. Meconium ileus
Which of the following condition is associated with Osmotic diarrhoea? Answer Choices: A. Lactase deficiency B. Ulcerative sprue C. Surreptitious ingestion of laxatives D. Endocrine tumors,A. Drowning
Which of the following indicates radiograph contrast-induced nephropathy?,A. Increased creatinine levels
Rosette cataract is caused by:,C. Trauma
"Which of the following statements about the pathology in Alzheimer's disease is not true:
Answer Choices:
A. Neuritic Plaques are formed of amyloid protein
B. Neurofibrillary tangles (NFT) are made of tau protein
C. NFTs appear extracellularly before intracellular appearance
D. Number of NFTs correlates with dementia",C. NFTs appear extracellularly before intracellular appearance
Painless effusion in congenital syphilis is called,A. Clutton joints
Senescent RBC's are mainly attacked in- Answer Choices: A. Vivax malaria B. Ovale malaria C. Falciparum malaria D. Quartan malaria,D
Why is cis atracurium better than atracurium?,A. Less histamine release
Which of the following is spared in modified radical mastectomy (MRM)?,A. Pectoralis major
"Port wine stain of the face, seizures, hemiparesis, intracranial calcification and glaucoma are features of?",C. Sturge-Weber syndrome
The stabbing nature of pain in trigeminal neuralgia mimics pain caused by,A. A cracked tooth
Which of the following has a normal level of alpha-fetoprotein value in serum?,A. Ovarian dysgerminoma
Which of the following inducing agent produces cardiac stability?,A. Etomidate
